id,category,subcategory,difficulty,statement,is_correct,explanation,source_type,source_title,source_url,source_checked_on,status,duplicate_group,review_notes,app_ready
P1-001,part1,定義・適用範囲,初級,航空法における「無人航空機」とは、重量100g以上の飛行機、回転翼航空機、滑空機、飛行船であって、人が乗ることができないものをいう。,true,重量100g未満のものは航空法上の無人航空機ではなく、模型航空機として扱われる。,mlit_page,無人航空機総合窓口サイト,https://www.mlit.go.jp/koku/info/,2026-05-19,approved,definition_001,既存問題。定義問題として維持。,yes
P1-002,part1,登録制度,初級,無人航空機の登録制度において、登録の有効期間は5年間である。,false,登録の有効期間は3年間であり、継続して使用するには更新が必要である。,mlit_page,無人航空機の登録制度,https://www.mlit.go.jp/koku/koku_ua_registration.html,2026-05-19,approved,registration_term_001,既存問題。数値論点。,yes
P1-003,part1,登録制度,初級,登録記号は、機体の外部に表示するとともに、リモートID機能により情報を発信しなければならない。,true,原則として外部表示とリモートIDによる発信の両方が求められる。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,remote_id_display_001,既存問題。運用上の誤解が多いため維持。,yes
P1-004,part1,登録制度,中級,登録記号の文字の高さは、最大離陸重量が25kg未満の機体では3mm以上、25kg以上では25mm以上である。,true,登録記号の表示基準は航空法施行規則等で定められている。,mlit_page,無人航空機の登録制度,https://www.mlit.go.jp/koku/koku_ua_registration.html,2026-05-19,approved,registration_mark_size_001,既存問題。数値の再確認対象。,yes
P1-005,part1,登録制度,初級,リモートID機能の搭載は、原則としてすべての屋外飛行において義務付けられている。,true,屋外を飛行させる無人航空機には原則としてリモートIDが必要で、免除は限られた条件の場合のみである。,mlit_page,無人航空機登録ポータルサイト,https://www.mlit.go.jp/koku/drone/,2026-05-19,approved,remote_id_requirement_001,既存問題。例外論点の追加作問余地あり。,yes
P1-006,part1,登録制度,中級,無人航空機の所有者の氏名や住所に変更があった場合、変更の日から15日以内に届出を行う必要がある。,true,所有者情報に変更があった場合は期限内の変更手続が必要である。,mlit_page,無人航空機の登録制度,https://www.mlit.go.jp/koku/koku_ua_registration.html,2026-05-19,approved,owner_change_001,既存問題。期限論点。,yes
P1-007,part1,登録制度,初級,登録を受けていない無人航空機であっても、私有地内であれば屋外飛行が可能である。,false,登録を受けていない100g以上の無人航空機は、私有地であっても屋外では飛行できない。,mlit_page,無人航空機総合窓口サイト,https://www.mlit.go.jp/koku/info/,2026-05-19,approved,unregistered_flight_001,既存問題。私有地誤解対策。,yes
P1-008,part1,登録制度,中級,無人航空機を譲り受けた場合、登録記号を引き継ぐことはできるが、所有者変更手続が必要である。,true,譲渡・譲受時にはDIPSで受取や名義変更の手続を行う必要がある。,mlit_page,無人航空機の登録制度,https://www.mlit.go.jp/koku/koku_ua_registration.html,2026-05-19,approved,transfer_registration_001,既存問題。DIPS実務へつなげやすい。,yes
P1-009,part1,飛行禁止空域,初級,空港等の周辺に設定される進入表面等の上空は、原則として飛行禁止空域である。,true,空港等の周辺空域では航空機の航行の安全確保のため、原則として許可が必要である。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,airport_zone_001,既存問題。空域規制の基本。,yes
P1-010,part1,飛行禁止空域,初級,地表又は水面から150m以上の高さの空域を飛行させる場合は、国土交通大臣の許可が必要である。,true,150m以上の空域は飛行禁止空域に該当し、許可対象となる。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,height_limit_001,既存問題。,yes
P1-011,part1,飛行禁止空域,初級,人口集中地区（DID）の上空では、土地の所有権に関わらず原則として許可が必要である。,true,私有地上空であってもDID上空は原則として許可対象となる。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,did_001,既存問題。,yes
P1-012,part1,飛行禁止空域,初級,緊急用務空域が指定されている場合、その空域内では無人航空機の飛行は禁止される。,true,緊急用務空域では原則として飛行できず、許可や承認の有無にかかわらず制限される。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,emergency_zone_001,既存問題。,yes
P1-013,part1,飛行禁止空域,中級,人口集中地区（DID）は国勢調査の結果を基に設定される。,true,DIDは国勢調査結果を基に設定され、見直しは調査更新に応じて行われる。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,did_basis_001,既存問題。知識確認用。,yes
P1-014,part1,許可・承認・申請実務,初級,飛行許可申請は、原則として飛行開始予定日の10開庁日前までに行う。,true,審査や補正の期間を考慮し、一般に10開庁日前までの申請が求められる。,mlit_page,無人航空機の飛行許可・承認手続,https://www.mlit.go.jp/koku/koku_fr10_000042.html?id=cig_arti_special,2026-05-19,approved,application_timing_001,既存問題。実務導線として重要。,yes
P1-015,part1,定義・適用範囲,初級,屋内で、無人航空機が外部へ飛び出すおそれがない構造の場所での飛行は航空法の適用外である。,true,屋内飛行は一般に航空法上の飛行規制の対象外である。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,indoor_scope_001,既存問題。適用範囲の整理に有効。,yes
P1-016,part1,許可・承認・申請実務,中級,150m以上の空域で飛行を行う場合、関係する管制機関との事前調整が必要となることがある。,true,空域の状況によっては、申請に加えて関係機関との事前調整が必要になる。,mlit_page,無人航空機の飛行許可・承認手続,https://www.mlit.go.jp/koku/koku_fr10_000042.html?id=cig_arti_special,2026-05-19,approved,coordination_150m_001,既存問題。運用判断向け。,yes
P1-017,part1,運航義務・飛行日誌・事故報告,初級,アルコール又は薬物の影響下では無人航空機を飛行させてはならない。,true,安全運航義務の一環として、飲酒や薬物の影響下での飛行は禁止される。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,intoxication_001,既存問題。基本義務。,yes
P1-018,part1,運航義務・飛行日誌・事故報告,初級,無人航空機を飛行させる前には、安全確保措置として機体の点検を行うことが求められている。,true,安全な飛行のため、飛行前点検を実施して機体状態を確認する必要がある。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,preflight_check_001,既存問題。,yes
P1-019,part1,運航義務・飛行日誌・事故報告,初級,航空機との衝突のおそれがある場合、無人航空機側が回避行動をとる義務がある。,true,有人航空機の安全確保が優先されるため、無人航空機側が回避しなければならない。,manual,無人航空機の飛行の安全に関する教則,https://www.mlit.go.jp/common/001602108.pdf,2026-05-19,approved,avoid_manned_aircraft_001,既存問題。,yes
P1-020,part1,特定飛行・飛行方法,初級,日没から日の出までの夜間飛行は特定飛行に該当する。,true,夜間飛行は特定飛行に該当し、承認や限定解除の対象となる。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,night_001,既存問題。,yes
P1-021,part1,特定飛行・飛行方法,初級,目視外飛行は特定飛行に該当し、原則として国土交通大臣の承認が必要である。,true,補助者の有無にかかわらず、目視外飛行は特定飛行に該当する。,mlit_page,無人航空機の飛行禁止空域と飛行の方法,https://www.mlit.go.jp/koku/koku_fr10_000041.html,2026-05-19,approved,bvlos_001,既存問題。,yes
P1-022,part1,カテゴリー区分,中級,カテゴリーIII飛行とは、立入管理措置を講じない第三者上空での特定飛行をいう。,true,第三者上空で立入管理措置を講じずに行う特定飛行はカテゴリーIIIに該当する。,mlit_page,無人航空機の飛行許可・承認手続,https://www.mlit.go.jp/koku/koku_fr10_000042.html?id=cig_arti_special,2026-05-19,approved,category3_definition_001,既存問題。,yes
